Date,Value,Value_Classification,BTC_Closing,BTC_Volume
2018-02-01,30.0,Fear,9170.5400390625,9959400448
2018-02-02,15.0,Extreme Fear,8830.75,12726899712
2018-02-03,40.0,Fear,9174.91015625,7263790080
2018-02-04,24.0,Extreme Fear,8277.009765625,7073549824
2018-02-05,11.0,Extreme Fear,6955.27001953125,9285289984
2018-02-06,8.0,Extreme Fear,7754.0,13999800320
2018-02-07,36.0,Fear,7621.2998046875,9169280000
2018-02-08,30.0,Fear,8265.58984375,9346750464
2018-02-09,44.0,Fear,8736.98046875,6784820224
2018-02-10,54.0,Neutral,8621.900390625,7780960256
2018-02-11,31.0,Fear,8129.97021484375,6122189824
2018-02-12,42.0,Fear,8926.5703125,6256439808
2018-02-13,35.0,Fear,8598.3095703125,5696719872
2018-02-14,55.0,Greed,9494.6298828125,7909819904
2018-02-15,71.0,Greed,10166.400390625,9062540288
2018-02-16,67.0,Greed,10233.900390625,7296159744
2018-02-17,74.0,Greed,11112.7001953125,8660880384
2018-02-18,63.0,Greed,10551.7998046875,8744009728
2018-02-19,67.0,Greed,11225.2998046875,7652089856
2018-02-20,74.0,Greed,11403.7001953125,9926540288
2018-02-21,54.0,Neutral,10690.400390625,9405339648
2018-02-22,44.0,Fear,10005.0,8040079872
2018-02-23,39.0,Fear,10301.099609375,7739500032
2018-02-24,31.0,Fear,9813.0703125,6917929984
2018-02-25,33.0,Fear,9664.73046875,5706939904
2018-02-26,37.0,Fear,10366.7001953125,7287690240
2018-02-27,44.0,Fear,10725.599609375,6966179840
2018-02-28,41.0,Fear,10397.900390625,6936189952
2018-03-01,38.0,Fear,10951.0,7317279744
2018-03-02,47.0,Neutral,11086.400390625,7620590080
2018-03-03,56.0,Greed,11489.7001953125,6690570240
2018-03-04,44.0,Fear,11512.599609375,6084149760
2018-03-05,55.0,Greed,11573.2998046875,6468539904
2018-03-06,59.0,Greed,10779.900390625,6832169984
2018-03-07,37.0,Fear,9965.5703125,8797910016
2018-03-08,39.0,Fear,9395.009765625,7186089984
2018-03-09,37.0,Fear,9337.5498046875,8704190464
2018-03-10,39.0,Fear,8866.0,5386319872
2018-03-11,40.0,Fear,9578.6298828125,6296370176
2018-03-12,41.0,Fear,9205.1201171875,6457399808
2018-03-13,41.0,Fear,9194.849609375,5991139840
2018-03-14,40.0,Fear,8269.8095703125,6438230016
2018-03-15,32.0,Fear,8300.8603515625,6834429952
2018-03-16,33.0,Fear,8338.349609375,5289379840
2018-03-17,31.0,Fear,7916.8798828125,4426149888
2018-03-18,29.0,Fear,8223.6796875,6639190016
2018-03-19,29.0,Fear,8630.650390625,6729110016
2018-03-20,37.0,Fear,8913.4697265625,6361789952
2018-03-21,36.0,Fear,8929.2802734375,6043129856
2018-03-22,36.0,Fear,8728.4697265625,5530390016
2018-03-23,28.0,Fear,8879.6201171875,5954120192
2018-03-24,32.0,Fear,8668.1201171875,5664600064
2018-03-25,30.0,Fear,8495.7802734375,4569880064
2018-03-26,31.0,Fear,8209.400390625,5921039872
2018-03-27,24.0,Extreme Fear,7833.0400390625,5378250240
2018-03-28,24.0,Extreme Fear,7954.47998046875,4935289856
2018-03-29,18.0,Extreme Fear,7165.7001953125,6361229824
2018-03-30,12.0,Extreme Fear,6890.52001953125,6289509888
2018-03-31,16.0,Extreme Fear,6973.52978515625,4553269760
2018-04-01,16.0,Extreme Fear,6844.22998046875,4532100096
2018-04-02,11.0,Extreme Fear,7083.7998046875,4333440000
2018-04-03,22.0,Extreme Fear,7456.10986328125,5499700224
2018-04-04,22.0,Extreme Fear,6853.83984375,4936000000
2018-04-05,17.0,Extreme Fear,6811.47021484375,5639320064
2018-04-06,19.0,Extreme Fear,6636.31982421875,3766810112
2018-04-07,20.0,Extreme Fear,6911.08984375,3976610048
2018-04-08,17.0,Extreme Fear,7023.52001953125,3652499968
2018-04-09,21.0,Extreme Fear,6770.72998046875,4894060032
2018-04-10,18.0,Extreme Fear,6834.759765625,4272750080
2018-04-11,20.0,Extreme Fear,6968.31982421875,4641889792
2018-04-12,18.0,Extreme Fear,7889.25,8906250240
2018-04-13,23.0,Extreme Fear,7895.9599609375,7764460032
2018-04-14,,,7986.240234375,5191430144
2018-04-15,,,8329.1103515625,5244480000
2018-04-16,,,8058.669921875,5631309824
2018-04-17,26.0,Fear,7902.08984375,6900879872
2018-04-18,24.0,Extreme Fear,8163.419921875,6529909760
2018-04-19,25.0,Extreme Fear,8294.3095703125,7063209984
2018-04-20,26.0,Fear,8845.830078125,8438110208
2018-04-21,32.0,Fear,8895.580078125,7548550144
2018-04-22,31.0,Fear,8802.4599609375,6629899776
2018-04-23,28.0,Fear,8930.8798828125,6925190144
2018-04-24,29.0,Fear,9697.5,10678800384
2018-04-25,64.0,Greed,8845.740234375,11083100160
2018-04-26,47.0,Neutral,9281.509765625,8970559488
2018-04-27,55.0,Greed,8987.0498046875,7566289920
2018-04-28,54.0,Neutral,9348.48046875,7805479936
2018-04-29,61.0,Greed,9419.080078125,8853000192
2018-04-30,59.0,Greed,9240.5498046875,8673920000
2018-05-01,56.0,Greed,9119.009765625,7713019904
2018-05-02,52.0,Neutral,9235.919921875,7558159872
2018-05-03,55.0,Greed,9743.8603515625,10207299584
2018-05-04,56.0,Greed,9700.759765625,8217829888
2018-05-05,63.0,Greed,9858.150390625,7651939840
2018-05-06,67.0,Greed,9654.7998046875,7222280192
2018-05-07,56.0,Greed,9373.009765625,7394019840
2018-05-08,62.0,Greed,9234.8203125,7415869952
